date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather,pm10_ext,pm25_ext
2020-01-26,68.42291667,155.1666667,-59.66666667,5.916666667,19.6875,46.08958333,1019.602083,2.329166667,22.35416667,0,549.7291667,4.729166667,3.729166667,41.0125,0.4,358,9,83,6,1020,sole,36,18
2020-01-27,156.8571429,159.9795918,-61.75510204,11.73469388,20.66326531,45.31836735,1020.169388,39.49387755,57.06122449,0,778.1428571,6.244897959,5.244897959,44.83877551,0.416326531,358,9,84,6,1020,pioggia nebbia ,50,19
2020-01-28,135.9041667,164.9791667,-63.70833333,11.85416667,21.70625,48.94791667,1015.383333,48.14166667,89.35416667,0,989.9375,4.625,3.625,49.21666667,0.45,358,12,84,12,1016,pioggia ,26,13
2020-01-29,143.03125,163.4791667,-66,9.708333333,22.00416667,47.11041667,1013.5125,50.13958333,67.29166667,0,844.5,6.083333333,5.083333333,43.775,0.4375,358,11,82,8,1014,pioggia ,43,13
2020-01-30,90.15,165.2083333,-61.95833333,9.416666667,21.96041667,42.5,1020.160417,47.225,26.02083333,0,573.875,4.791666667,3.791666667,42.59166667,0.445833333,358,9,77,8,1020,sole,44,19
2020-01-31,146.0979592,164.6734694,-61.7755102,11.04081633,22.30816327,44.45714286,1021.232653,52.57959184,46.42857143,0,707.6122449,6.387755102,5.387755102,43.07346939,0.455102041,358,12,75,8,1021,sole,56,24
2020-02-01,179.24375,153.4166667,-62.4375,9.666666667,21.55625,47.21041667,1020.710417,31.05833333,61.41666667,0,806.9375,7.729166667,6.729166667,38.70416667,0.40625,358,12,86,6,1021,sole,62,44
2020-02-02,109.3604167,155.1666667,-62.47916667,7.604166667,21.025,50.82083333,1021.291667,31.775,17.77083333,0,519.4166667,5.041666667,4.041666667,40.16041667,0.408333333,358,13,81,7,1022,sole,37,27
2020-02-03,136.7666667,164,-60.08333333,9.25,22.28333333,51.2,1019.070833,58.81875,77.79166667,0,914.1666667,5.0625,4.0625,44.46041667,0.45625,358,13,81,7,1019,sole,37,16
2020-02-04,91.46122449,163.3061224,-60.89795918,8.897959184,22.84897959,48.3122449,1009.636735,45.69183673,53.48979592,0,754.3061224,4.959183673,3.959183673,44.53265306,0.463265306,358,12,77,15,1011,pioggia ,34,11
2020-02-05,103.8416667,159.0833333,-60.5625,9.708333333,22.5375,32.46875,1013.99375,49.57708333,20.60416667,0,538.0208333,3.666666667,2.666666667,44.79166667,0.447916667,358,8,43,26,1014,sole,8,4
2020-02-06,117.5020833,156.3958333,-60.33333333,10.41666667,22.94791667,25.1375,1022.8,48.23958333,30.97916667,0,606.5,2.875,1.875,43.66875,0.45,358,7,31,20,1022,sole,16,10
2020-02-07,120.2315789,157.2631579,-62.77192982,9.666666667,22.28421053,25.88245614,1026.526316,40.10526316,48.85964912,0,724.2280702,3.859649123,2.859649123,43.1122807,0.438596491,358,6,44,8,1026,sole,23,20
2020-02-08,84.05416667,155.8541667,-64.54166667,6.458333333,20.3375,31.56666667,1027.90625,1.995833333,98.875,0,1052.645833,5.125,4.125,38.12083333,0.4,358,7,57,6,1028,sole,52,38
2020-02-09,57.29583333,150.7291667,-65.33333333,7.270833333,19.05416667,37.15208333,1030.854167,2.320833333,20.45833333,0,536.8541667,5.020833333,4.020833333,39.07291667,0.4,358,10,69,11,1031,pioggia ,51,27
2020-02-10,138.6066667,159.1111111,-61.44444444,9.511111111,20.77333333,46.32444444,1024.295556,40.89777778,164.3333333,0,1482.066667,4.911111111,3.911111111,43.90222222,0.431111111,358,12,83,12,1025,pioggia ,30,11
2020-02-11,103.7065217,166.5869565,-59.06521739,8.347826087,21.84565217,49.58913043,1015.413043,43.8826087,192.1086957,0,1664.543478,4.891304348,3.891304348,42.66086957,0.441304348,358,14,78,10,1016,sole,47,6
2020-02-12,123.3354167,162.5833333,-60.04166667,10.10416667,22.55208333,44.975,1017.98125,50.32708333,71.0625,0,869.6875,6.416666667,5.416666667,44.14791667,0.472916667,358,12,64,8,1018,sole,50,8
2020-02-13,90.74791667,167.3333333,-59.83333333,7.541666667,22.66875,41.95625,1021.029167,50.84166667,26.0625,0,574.3125,5,4,44.7125,0.49375,358,10,71,10,1021,sole,41,14
2020-02-14,78.40416667,165.0416667,-59.60416667,7.6875,22.91458333,41.61875,1017.108333,47.84375,26.3125,0,575.9791667,3.75,2.75,43.31875,0.458333333,358,14,61,17,1017,pioggia ,19,10
2020-02-15,100.2469388,156.244898,-60.3877551,6.632653061,21.4877551,38.79183673,1025.030612,1.902040816,36.46938776,0,642.6530612,3.285714286,2.285714286,40.33061224,0.4,358,10,56,8,1025,sole,26,16
2020-02-16,74.85,155.7916667,-59.375,7.4375,20.33125,42.46666667,1028.570833,2.102083333,13.9375,0,493.7916667,4.770833333,3.770833333,40.475,0.4,358,10,69,6,1029,sole,45,25
2020-02-17,169.31875,161.4375,-61.47916667,10,21.43333333,42.3875,1027.445833,52.96458333,102.6041667,0,1077.1875,5,4,46.48541667,0.427083333,358,10,67,6,1028,sole,43,21
2020-02-18,115.25625,164.5416667,-62.95833333,7.833333333,21.99375,43.03958333,1023.629167,48.72916667,54.58333333,0,761.7083333,4.270833333,3.270833333,44.50833333,0.445833333,358,11,82,7,1024,sole,41,18
2020-02-19,106.6510204,164.4693878,-60.59183673,6.836734694,22.26734694,45.88571429,1020.2,50.07346939,92.14285714,0,1008.44898,6.102040816,5.102040816,44.84081633,0.446938776,358,10,90,6,1020,pioggia nebbia ,43,15
2020-02-20,103.6770833,164.625,-61.04166667,7.3125,21.87916667,36.89375,1021.8125,58.45833333,19.75,0,532.7083333,3.458333333,2.458333333,43.39583333,0.433333333,358,10,66,9,1022,sole,22,12
2020-02-21,165.9791667,165.3333333,-63.5625,8.541666667,22.66666667,34.50625,1023.779167,122.5583333,47.08333333,0,712.4791667,4,3,43.9,0.45625,358,9,61,6,1024,sole,33,15
2020-02-22,164.18125,156.9166667,-66.52083333,7.895833333,21.94375,39.04791667,1029.385417,120.6083333,45.45833333,0,701.9791667,3.666666667,2.666666667,40.11666667,0.414583333,358,10,75,7,1029,sole,46,24
2020-02-23,104.3959184,153.6734694,-66.16326531,6.632653061,21.30612245,42.05918367,1028.961224,120.4673469,7.93877551,0,454.7346939,4.469387755,3.469387755,39.4877551,0.404081633,358,11,83,7,1029,nebbia ,44,25
2020-02-24,141.275,161.8125,-62.22916667,10.875,22.20833333,44.41458333,1021.689583,87.68541667,78.58333333,0,919.1458333,4.916666667,3.916666667,43.89791667,0.45,358,13,78,10,1022,sole,32,13
2020-02-25,110.8458333,164.9375,-59.47916667,10.8125,22.69791667,45.45625,1014.297917,50.27291667,50.39583333,0,734.1458333,3.6875,2.6875,44.67083333,0.464583333,358,13,76,16,1015,sole,36,6
2020-02-26,102.3229167,166.4166667,-59.54166667,10.91666667,22.9,42.46875,1004.308333,50.35416667,28.20833333,0,588.6458333,3.333333333,2.333333333,42.55,0.464583333,358,12,69,17,1005,pioggia ,18,2
2020-02-27,102.5836735,166.5102041,-59.10204082,8.857142857,22.61836735,33.91836735,1011.571429,51.53877551,15.63265306,0,505.4693878,3.06122449,2.06122449,44.25306122,0.453061224,358,8,61,11,1012,pioggia ,16,6
2020-02-28,129.03125,165.7291667,-59.27083333,8.708333333,22.76666667,31.89583333,1012.885417,50.05,20.83333333,0,539.8125,2.708333333,1.708333333,44.11458333,0.454166667,358,13,51,16,1013,pioggia ,21,7
2020-02-29,50.50416667,153.125,-60.9375,7.395833333,21.50416667,33.14375,1017.70625,15.10833333,59.39583333,0,792.7083333,2.708333333,1.708333333,39.45625,0.402083333,358,11,55,15,1018,sole,30,13
2020-03-01,46.91666667,154.8333333,-61.10416667,5.270833333,20.88125,43.43958333,1009.670833,13.07291667,29,0,594.1458333,2.916666667,1.916666667,38.84166667,0.4,358,14,78,24,1010,pioggia ,37,11
2020-03-02,108.3061224,166.7142857,-58.48979592,10.12244898,22.25714286,49.07142857,1004.7,53.41020408,118.1836735,0,1178.816327,5.102040816,4.102040816,44.89795918,0.451020408,358,13,82,25,1005,pioggia ,34,5
2020-03-03,73.49375,169.75,-59.0625,10.5,22.6875,42.05416667,1001.816667,37.04583333,38.0625,0,653.1666667,4.395833333,3.395833333,43.31666667,0.464583333,358,11,70,17,1002,pioggia ,31,4
2020-03-04,118.2479167,166.8125,-58.25,9.458333333,22.68333333,38.26041667,1008.08125,50.65833333,39.64583333,0,663.4583333,3.208333333,2.208333333,44.2375,0.460416667,358,9,70,10,1008,pioggia ,24,8
2020-03-05,94.04146341,161.9512195,-58.63414634,9.87804878,22.8902439,35.52195122,1009.765854,55.5,21.31707317,0,543.2682927,2.804878049,1.829268293,45.08780488,0.424390244,358,10,66,14,1010,sole,18,7
2020-03-06,87.29387755,162.4081633,-62.34693878,11.02040816,23.04285714,40.90612245,1002.110204,45.94285714,35.69387755,0,637.8571429,3.183673469,2.183673469,43.9877551,0.414285714,358,12,77,18,1003,pioggia ,29,8
2020-03-07,105.5583333,154.7291667,-67,10.625,21.80208333,41.75,1007.520833,7.083333333,46.79166667,0,710.1041667,2.791666667,1.791666667,39.30416667,0.4,358,11,72,9,1007,pioggia temporale ,26,11
2020-03-08,46.31041667,156.9375,-63.27083333,8.291666667,20.6875,38.76041667,1015.741667,7.9375,6,0,442,2.208333333,1.208333333,38.9875,0.4,358,10,57,12,1016,sole,15,7
2020-03-09,148.5040816,158.3877551,-61.3877551,12.87755102,21.44693878,35.05918367,1012.640816,47.76530612,91.24489796,0,1002.183673,3.244897959,2.244897959,44.32857143,0.42244898,358,9,64,8,1013,sole,21,11
2020-03-10,132.4395833,154.3958333,-62.0625,12.5625,21.88958333,36.39375,1015.227083,50.61458333,87.16666667,0,975.2083333,3.6875,2.6875,44.65,0.404166667,358,11,62,9,1016,sole,29,17
2020-03-11,101.9046512,158.5116279,-59.95348837,14.81395349,22.23255814,37.09069767,1020.255814,40.59534884,24.86046512,0,566.1860465,5.581395349,4.581395349,43.92790698,0.411627907,358,14,62,8,1022,sole,38,19
2020-03-12,93.18285714,163.4857143,-61.51428571,18.4,23.00285714,42.84,1021.648571,38.70285714,105.5142857,0,1096.514286,3.6,2.6,45.59142857,0.417142857,358,14,69,10,1022,sole,24,14
2020-03-13,64.01463415,159.2682927,-62.07317073,16.6097561,22.56341463,45.2804878,1017.170732,9.424390244,18.29268293,0,523.6097561,8.487804878,7.43902439,44.64634146,0.402439024,358,13,84,6,1017,sole,38,16
2020-03-14,36.9,154.9,-63.2,11.8,21.11,51.34,1014.77,0.07,266.7,0,2154.1,4.8,3.8,42.07,0.4,358,13,83,6,1015,sole,26,15
2020-03-15,42.27291667,159.2708333,-63.72916667,10.75,21.7125,41.87916667,1017.5625,5.645833333,82.29166667,0,943.2291667,3.75,2.75,42.06666667,0.402083333,358,14,66,11,1019,sole,19,9
2020-03-16,111.3145833,164.6041667,-60.66666667,11.16666667,22.33541667,34.80416667,1023.760417,19.75,15.20833333,0,502.4166667,4.125,3.125,44.39166667,0.4125,358,13,55,9,1025,sole,24,15
2020-03-17,125.8795918,166.5306122,-58.95918367,10.63265306,22.61632653,38.66734694,1028.397959,17.79591837,6.408163265,0,445.4693878,7.489795918,6.489795918,44.45510204,0.404081633,358,13,68,7,1029,sole,37,20
2020-03-18,89.77916667,164,-56.97916667,11.02083333,22.54791667,39.45625,1024.795833,5.710416667,11.66666667,0,479.2708333,7.020833333,6.020833333,43.375,0.404166667,358,14,63,8,1024,sole,39,25
2020-03-19,91.16666667,163.375,-57.47916667,11.1875,22.37916667,37.86041667,1023.525,8.939583333,14.0625,0,495.125,7.979166667,6.979166667,42.87708333,0.408333333,358,15,56,9,1024,sole,41,25
2020-03-20,143.9729167,162.6458333,-58.95833333,10.83333333,22.69791667,37.45416667,1021.433333,19.27291667,34.70833333,0,630.7708333,7.291666667,6.291666667,44.47916667,0.408333333,358,14,57,8,1021,sole,38,20
2020-03-21,73.84081633,156.5306122,-57.53061224,9.06122449,21.41428571,38.02857143,1014.669388,4.193877551,25.63265306,0,571.755102,7.612244898,6.612244898,41.09591837,0.402040816,358,14,55,7,1014,sole,38,20
2020-03-22,72.02083333,152.7708333,-57.60416667,7.770833333,20.71458333,41.11458333,1012.541667,4.610416667,30.72916667,0,604.9583333,7.875,6.875,41.40625,0.4,358,15,58,10,1013,pioggia ,38,24
2020-03-23,35.86875,157.2708333,-58.47916667,12,20.87916667,27.71875,1017.514583,6.935416667,4.270833333,0,430.5416667,3.291666667,2.291666667,43.17291667,0.404166667,358,9,35,26,1018,sole,20,12
2020-03-24,63.38333333,155.0625,-56.35416667,12.33333333,19.99791667,22.90208333,1019.172917,7.160416667,6.541666667,0,446.25,2.958333333,1.958333333,42.65,0.4,358,6,47,23,1018,sole,11,10
2020-03-25,96.22857143,150.3877551,-56.53061224,12.18367347,19.4244898,24.90612245,1011.271429,3.783673469,15.67346939,0,506.0408163,2.489795918,1.489795918,42.40204082,0.4,358,8,46,11,1010,pioggia ,10,8
2020-03-26,218.0979167,152.4375,-56.8125,9.6875,19.5,38.71875,1001.985417,1.90625,176.1666667,0,1559.375,2.5,1.5,42.7125,0.4,358,9,82,8,1001,pioggia ,8,4
2020-03-27,164.9510638,154.212766,-56.87234043,11.42553191,19.98510638,45.50851064,1007.719149,3.625531915,228.5744681,0,1903.659574,2.212765957,1.212765957,42.79787234,0.4,358,12,79,10,1008,pioggia ,10,3
2020-03-28,78.88571429,149.4897959,-56.97959184,9.183673469,19.15714286,47.63469388,1012.806122,4.320408163,51.85714286,0,743.5510204,4.285714286,3.285714286,42.03469388,0.4,358,12,77,8,1013,pioggia ,28,10
2020-03-29,123.2608696,150.6304348,-58.02173913,7.804347826,18.7673913,51.36304348,1012.706522,6.873913043,78.2826087,0,917.3913043,5.826086957,4.826086957,41.73913043,0.4,358,14,72,8,1013,sole,70,19
2020-03-30,156.75625,153.6458333,-59.875,11.04166667,19.88541667,49.48958333,1011.620833,6.235416667,46.83333333,0,710.7708333,5.583333333,4.583333333,43.09583333,0.4,358,14,71,8,1012,sole,73,19
2020-03-31,119.2979167,154.6458333,-56.3125,10.41666667,20.32916667,43.33958333,1014.135417,5.410416667,20.91666667,0,540.375,4.125,3.125,42.68958333,0.4,358,11,68,15,1014,sole,24,10
2020-04-01,59.15102041,154.3265306,-63.32653061,9.795918367,19.80204082,26.90816327,1014.920408,7.387755102,3.918367347,0,427.6938776,2.714285714,1.714285714,42.90408163,0.4,358,8,41,18,1015,sole,14,8
2020-04-02,127.9604167,153.2916667,-56.60416667,11.875,19.64375,28.21875,1013.3875,7.902083333,14.70833333,0,499.4583333,3.333333333,2.333333333,42.58333333,0.4,358,10,52,10,1013,sole,18,11
2020-04-03,183.5,152.2708333,-57.33333333,10.3125,19.7875,33.40416667,1010.977083,6.720833333,48.47916667,0,721.4791667,4.770833333,3.770833333,42.8,0.4,358,12,55,10,1011,sole,26,16
2020-04-04,84.44375,150.6041667,-61.54166667,13.54166667,19.1,32.34583333,1014.120833,7.08125,52.35416667,0,746.7708333,4.083333333,3.083333333,41.08333333,0.4,358,13,48,11,1014,sole,24,13
2020-04-05,82.38367347,150.6734694,-62.26530612,10.83673469,18.79183673,31.02653061,1017.183673,6.493877551,21.81632653,0,545.8163265,4.489795918,3.489795918,41.32857143,0.4,358,14,38,10,1017,sole,22,15
2020-04-06,164.25,152.625,-58.04166667,9.875,20.11875,32.23125,1021.910417,6.50625,42.54166667,0,682.5625,5.208333333,4.208333333,42.40416667,0.4,358,15,45,10,1022,sole,31,20
2020-04-07,214.7962963,151.4444444,-57.18518519,9.962962963,20.16296296,36.74074074,1025.292593,4.225925926,192.1111111,0,1664.518519,6.037037037,5.037037037,40.25555556,0.4,358,16,50,9,1026,sole,38,23
2020-04-08,155.6647059,148.4117647,-54.11764706,14.17647059,19.77058824,40.68823529,1021.694118,9.252941176,33.64705882,0,623.9411765,6.058823529,5.058823529,36.22352941,0.4,358,16,53,10,1024,sole,40,23
